"Date","Price","Open","High","Low","Change %"
"Feb 10, 1991","1.3915","1.3915","1.4217","1.3895","-1.21%"
"Feb 03, 1991","1.4085","1.4085","1.4190","1.3969","0.59%"
"Jan 27, 1991","1.4003","1.4003","1.4027","1.3745","1.25%"
"Jan 20, 1991","1.3830","1.3830","1.3921","1.3643","0.67%"
"Jan 13, 1991","1.3738","1.3738","1.3746","1.3317","2.05%"
"Jan 06, 1991","1.3462","1.3462","1.3637","1.3341","-1.56%"
"Dec 30, 1990","1.3675","1.3675","1.3825","1.3584","0.74%"
"Dec 23, 1990","1.3574","1.3574","1.3595","1.3339","1.26%"
"Dec 16, 1990","1.3405","1.3405","1.3925","1.3395","-3.14%"
"Dec 09, 1990","1.3840","1.3840","1.4029","1.3805","-0.38%"
"Dec 02, 1990","1.3893","1.3893","1.3902","1.3590","1.33%"
"Nov 25, 1990","1.3710","1.3710","1.3981","1.3657","-1.28%"
"Nov 18, 1990","1.3888","1.3888","1.4026","1.3884","-0.69%"
"Nov 11, 1990","1.3985","1.3985","1.4009","1.3878","0.83%"
"Nov 04, 1990","1.3870","1.3870","1.3982","1.3810","0.76%"
"Oct 28, 1990","1.3765","1.3765","1.3797","1.3568","0.71%"
"Oct 21, 1990","1.3668","1.3668","1.3760","1.3588","-0.67%"
"Oct 14, 1990","1.3760","1.3760","1.3854","1.3540","0.95%"
"Oct 07, 1990","1.3630","1.3630","1.3684","1.3395","2.04%"
