"Date","Price","Open","High","Low","Change %"
"Mar 15, 1992","5.4792","5.4792","5.4792","5.4792","0.07%"
"Mar 08, 1992","5.4755","5.4755","5.4755","5.4755","0.01%"
"Mar 01, 1992","5.4750","5.4750","5.4750","5.4750","0.10%"
"Feb 23, 1992","5.4693","5.4693","5.4693","5.4693","-0.01%"
"Feb 16, 1992","5.4700","5.4700","5.4700","5.4700","0.00%"
"Feb 09, 1992","5.4700","5.4700","5.4700","5.4700","0.27%"
"Feb 02, 1992","5.4550","5.4550","5.4550","5.4550","-0.25%"
"Jan 26, 1992","5.4686","5.4686","5.4686","5.4686","0.03%"
"Jan 19, 1992","5.4668","5.4668","5.4668","5.4668","-0.03%"
"Jan 12, 1992","5.4686","5.4686","5.4686","5.4686","0.17%"
"Jan 05, 1992","5.4591","5.4591","5.4591","5.4591","0.06%"
"Dec 29, 1991","5.4559","5.4559","5.4559","5.4559","0.49%"
"Dec 22, 1991","5.4292","5.4292","5.4292","5.4292","0.06%"
"Dec 15, 1991","5.4261","5.4261","5.4261","5.4261","0.10%"
"Dec 08, 1991","5.4207","5.4207","5.4207","5.4207","0.17%"
"Dec 01, 1991","5.4115","5.4115","5.4115","5.4115","0.00%"
"Nov 24, 1991","5.4115","5.4115","5.4115","5.4115","0.18%"
"Nov 17, 1991","5.4020","5.4020","5.4020","5.4020","0.08%"
"Nov 10, 1991","5.3976","5.3976","5.3976","5.3976","0.00%"
"Nov 03, 1991","5.3975","5.3975","5.3975","5.3975","0.06%"
"Oct 27, 1991","5.3944","5.3944","5.3944","5.3944","0.00%"
"Oct 20, 1991","5.3944","5.3944","5.3944","5.3944","0.00%"
"Oct 13, 1991","5.3944","5.3944","5.3944","5.3944","0.00%"
"Oct 06, 1991","5.3944","5.3944","5.3944","5.3944","0.17%"
"Sep 29, 1991","5.3854","5.3854","5.3854","5.3854","-0.08%"
"Sep 22, 1991","5.3899","5.3899","5.3899","5.3899","0.00%"
"Sep 15, 1991","5.3899","5.3899","5.3899","5.3899","0.12%"
"Sep 08, 1991","5.3835","5.3835","5.3835","5.3835","-0.05%"
"Sep 01, 1991","5.3862","5.3862","5.3862","5.3862","0.00%"
"Aug 25, 1991","5.3862","5.3862","5.3862","5.3862","0.00%"
"Aug 18, 1991","5.3862","5.3862","5.3862","5.3862","0.31%"
"Aug 11, 1991","5.3696","5.3696","5.3696","5.3696","0.15%"
"Aug 04, 1991","5.3618","5.3618","5.3618","5.3618","0.02%"
"Jul 28, 1991","5.3605","5.3605","5.3605","5.3605","0.00%"
"Jul 21, 1991","5.3605","5.3605","5.3605","5.3605","-0.14%"
"Jul 14, 1991","5.3679","5.3679","5.3679","5.3679","-0.12%"
"Jul 07, 1991","5.3742","5.3742","5.3742","5.3742","-0.19%"
"Jun 30, 1991","5.3847","5.3847","5.3847","5.3847","0.29%"
"Jun 23, 1991","5.3690","5.3690","5.3690","5.3690","0.00%"
"Jun 16, 1991","5.3690","5.3690","5.3690","5.3690","-0.09%"
"Jun 09, 1991","5.3737","5.3737","5.3737","5.3737","0.28%"
"Jun 02, 1991","5.3585","5.3585","5.3585","5.3585","0.18%"
"May 26, 1991","5.3490","5.3490","5.3490","5.3490","0.25%"
"May 19, 1991","5.3359","5.3359","5.3359","5.3359","0.30%"
"May 12, 1991","5.3201","5.3201","5.3201","5.3201","-0.12%"
"May 05, 1991","5.3264","5.3264","5.3264","5.3264","0.48%"
"Apr 28, 1991","5.3007","5.3007","5.3007","5.3007","-0.05%"
"Apr 21, 1991","5.3036","5.3036","5.3036","5.3036","0.11%"
"Apr 14, 1991","5.2979","5.2979","5.2979","5.2979","0.29%"
"Apr 07, 1991","5.2827","5.2827","5.2827","5.2827","0.91%"
"Mar 31, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Mar 24, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Mar 17, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Mar 10, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Mar 03, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Feb 24, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Feb 17, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Feb 10, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Feb 03, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Jan 27, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Jan 20, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Jan 13, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Jan 06, 1991","5.2352","5.2352","5.2352","5.2352","0.00%"
"Dec 30, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Dec 23, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Dec 16, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Dec 09, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Dec 02, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Nov 25, 1990","5.2352","5.2352","5.2352","5.2352","0.00%"
"Nov 18, 1990","5.2352","5.2352","5.2352","5.2352","10.59%"
"Nov 11, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
"Nov 04, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
"Oct 28, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
"Oct 21, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
"Oct 14, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
"Oct 07, 1990","4.7339","4.7339","4.7339","4.7339","0.00%"
